,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
1289,12.88,0.0,0.0,0.0,0.0,-0.1628965548605358,-0.2890879922021899,-0.08013756541109025,1.2544336319099603,-1.5919755052163194,-1.7035322352526936,-0.11155673003637423,-0.12619143734165408
1290,12.89,0.0,0.0,0.0,0.0,-0.16365784260411276,-0.2764928095417575,-0.07207111880124135,1.2643425137675082,-1.593608344421045,-1.7063602218337377,-0.11275187741269276,-0.11283496693764472
1291,12.9,0.0,0.0,0.0,0.0,-0.1643370104405649,-0.2638063453454529,-0.06371467420765536,1.2726905480829611,-1.5952483883199606,-1.7090617871749574,-0.11381339885499675,-0.09946933490488799
1292,12.91,0.0,0.0,0.0,0.0,-0.16493119175599882,-0.2510441865867879,-0.05507497001786023,1.27948235704498,-1.5968948013247777,-1.71163609643437,-0.1147412951095923,-0.08611299483078907
1293,12.92,0.0,0.0,0.0,0.0,-0.16543758924874466,-0.23822186441490767,-0.04615912751710209,1.284724478030727,-1.598546719524439,-1.7140824703765645,-0.11553575085212553,-0.07278427516616301
1294,12.93,0.0,0.0,0.0,0.0,-0.16585347867720948,-0.22535483515951837,-0.03697463486904365,1.288425332488077,-1.6002032513971134,-1.716400384719223,-0.11619713332210968,-0.05950135648230889
1295,12.94,0.0,0.0,0.0,0.0,-0.16617621245377182,-0.21245846163959126,-0.027529332349704647,1.2905951963027091,-1.6018634785588906,-1.7185894692912234,-0.11672599073233281,-0.04628224918581944
1296,12.950000000000001,0.0,0.0,0.0,0.0,-0.16640322309740474,-0.19954799476093985,-0.01783139886194633,1.2912461716520538,-1.6035264565476952,-1.7206495070052852,-0.11712305045758997,-0.033144771663535105
1297,12.96,0.0,0.0,0.0,0.0,-0.16653202655787636,-0.18663855538801374,-0.007889339735454803,1.2903921602983308,-1.605191215641075,-1.7225804326479734,-0.11738921700689843,-0.020106528830137388
1298,12.97,0.0,0.0,0.0,0.0,-0.16656022542431767,-0.17374511647591895,0.0022880242042941246,1.2880488382261326,-1.6068567617066438,-1.7243823314897355,-0.1175255697830917,-0.007184891051601278
1299,12.98,0.0,0.0,0.0,0.0,-0.1664855120306791,-0.16088248544992145,0.012691566335024917,1.2842336314862244,-1.6085220770840831,-1.726055437717503,-0.1175333606334199,0.005603026580757647
1300,12.99,0.0,0.0,0.0,0.0,-0.16630567147013084,-0.14806528682119832,0.023311862760834696,1.278965693067077,-1.6101861214977324,-1.7276001326922796,-0.1174140111945472,0.018240384648932517
1301,13.0,0.0,0.0,0.0,0.0,-0.16601858452980858,-0.13530794502961865,0.034139199733743686,1.2722658805790834,-1.6118478329989179,-1.7290169430340274,-0.11716911003510955,0.03071063950018993
1302,13.01,0.0,0.0,0.0,0.0,-0.1656222305564807,-0.12262466750663711,0.045163580064237575,1.264156734504195,-1.6135061289372734,-1.7303065385360883,-0.11680040959881488,0.04299756304984359
1303,13.02,0.0,0.0,0.0,0.0,-0.16511469026273107,-0.1100294279540012,0.056374728626341165,1.2546624567354747,-1.6151599069604137,-1.7314697299113133,-0.11630982295089966,0.05508526230872987
1304,13.030000000000001,0.0,0.0,0.0,0.0,-0.16449414848212882,-0.09753594983684828,0.0677620970759352,1.2438088891075898,-1.616808046041408,-1.7325074663720532,-0.11569942033064518,0.06695819864528053
1305,13.040000000000001,0.0,0.0,0.0,0.0,-0.16375889688061165,-0.08515769009287215,0.07931486791238522,1.2316234916003366,-1.6184494075335796,-1.7334208330461554,-0.11497142551257578,0.0786012067877395
1306,13.05,0.0,0.0,0.0,0.0,-0.16290733662995663,-0.07290782306244581,0.09102195802313028,1.2181353198831304,-1.6200828362522277,-1.7342110482311537,-0.11412821197892598,0.08999951356751082
1307,13.06,0.0,0.0,0.0,0.0,-0.1619379810477812,-0.060799224648035784,0.10287202185834872,1.2033750018593048,-1.6217071615829122,-1.734879460488897,-0.1131722989059849,0.10113875639974543
1308,13.07,0.0,0.0,0.0,0.0,-0.16084945820701185,-0.04884445671460221,0.11485345438845257,1.187374712864763,-1.6233211986159828,-1.735427545582965,-0.1121063469669823,0.11200500149240963
1309,13.08,0.0,0.0,0.0,0.0,-0.1596405135162137,-0.03705575174618042,0.12695439400068065,1.170168149176337,-1.6249237493070594,-1.7358569032613553,-0.11093315395429593,0.12258476177003327
1310,13.09,0.0,0.0,0.0,0.0,-0.15831001227060157,-0.025444997777245928,0.13916272549249284,1.1517904994910293,-1.6265136036631678,-1.7361692538870934,-0.10965565022392565,0.13286501449335564
1311,13.1,0.0,0.0,0.0,0.0,-0.15685694217197757,-0.014023723620805546,0.15146608331892733,1.132278414047989,-1.6280895409542329,-1.7363664349196204,-0.10827689396538755,0.14283321855117204
1312,13.11,0.0,0.0,0.0,0.0,-0.15528041581427987,-0.0028030844183651827,0.16385185524842388,1.1116699710806484,-1.6296503309496027,-1.7364503972500482,-0.10680006630044558,0.15247733139591468
1313,13.120000000000001,0.0,0.0,0.0,0.0,-0.15357967312990367,0.008206152460048844,0.1763071865769998,1.090004640306686,-1.631194735179237,-1.7364232013936407,-0.10522846621440363,0.16178582558995253
1314,13.13,0.0,0.0,0.0,0.0,-0.15175408379048996,0.018993621134821195,0.18881898504404068,1.067323243188252,-1.6327215082191362,-1.7362870135431732,-0.10356550532403697,0.17074770492531116
1315,13.14,0.0,0.0,0.0,0.0,-0.1498031495544794,0.02954937052114419,0.2013739265845737,1.0436679097237254,-1.6342293990005197,-1.7360441014871457,-0.10181470248662605,0.17935252007562358
