,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
869,8.68,-58.79405702447007,-8.149253307841619,157.02359666104624,-32.041061392221046,2.0931427865865557,3.031994819388161,-2.6964826977688325,-1.8132983951302202,0.023490206903093957,-2.4947400093237033,1.8817469465480536,2.828871141513239,12.571033584751957,10.04831513376306,-2.5182302162267973,0.9388520328016052
870,8.69,-62.28687325794484,-7.923129226949022,153.47414962273274,-31.320374458136346,2.066058375467405,3.012764350342772,-2.8039135346169677,-1.9434006243165471,0.044286406054334156,-2.4645143836379924,1.8613432642226881,2.8168975587573555,12.58974933934677,10.076544569058004,-2.5088007896923266,0.9467059748753668
871,8.700000000000001,-65.56758742325982,-7.694003567134944,150.06309468380132,-30.58032173122698,2.0379153885524177,2.992209636670364,-2.902739271039757,-2.0642344694409354,0.06480644196570347,-2.4344876457859326,1.840594634165916,2.8042371826319417,12.608259300332572,10.104650795779964,-2.499294087751636,0.9542942481179462
872,8.71,-68.62718742285767,-7.463578799636039,146.80199561234667,-29.823376660823072,2.008799552087814,2.9704260639409705,-2.992806063785922,-2.175757296430207,0.08504015806890082,-2.404672565781191,1.8195389533059254,2.790935846522929,12.62656020865574,10.132627176337637,-2.489712723850092,0.9616265118531566
873,8.72,-71.45790937106769,-7.233509470093247,143.70120604707103,-29.051974554586433,1.9787980892650756,2.9475094809357727,-3.0740069593163986,-2.277971078754399,0.10497826261153116,-2.375080957522354,1.7982129648307794,2.7770379428977843,12.644649178506885,10.160467524318138,-2.480059220133885,0.9687113916706971
874,8.73,-74.05324459323792,-7.00538732757765,140.7698513004841,-28.26849464186808,1.947999254518873,2.923555728331746,-3.1462805280368222,-2.3709199931681613,0.12461234129257855,-2.345723676475654,1.776652210852786,2.7625863707078264,12.662523685538437,10.188166089804307,-2.4703360177682328,0.975556473812873
875,8.74,-76.40793871383724,-6.780727401231146,138.01581869163738,-27.475243253460494,1.916491881649265,2.898660192327379,-3.209609263490743,-2.4546878352125945,0.14393486530972896,-2.3166106219476696,1.7548909947340707,2.747622494860808,12.680181554657743,10.215717544227298,-2.4605454872573986,0.9821683106781138
876,8.75,-78.51798324753398,-6.560955214613773,135.44575601636507,-26.67443831383203,1.8843649480828095,2.87291738531537,-3.2640177797642007,-2.529395300440628,0.1629391949684051,-2.28775074368857,1.732962352381663,2.732186116708948,12.697620947488868,10.24311696486985,-2.450689938656975,0.9885524372325605
877,8.76,-80.38060012985218,-6.347395308513115,133.06507773266298,-25.86819532048364,1.8517071572556523,2.8464205552124695,-3.309570839122169,-2.5951971760448935,0.1816195790238661,-2.2591520525478423,1.7108980318313727,2.716315454549782,12.714840349589327,10.270359819125282,-2.4407716315717085,0.9947133979568172
878,8.77,-81.99421964055777,-6.1412612194818195,130.8779784152137,-25.05851495964752,1.8186065407828254,2.8192613245710594,-3.3463712402227186,-2.652279485127883,0.19997114994598905,-2.230821634890655,1.688728480454061,2.700047133189404,12.731838557501321,10.297441948607581,-2.430792784836644,1.000654783788234
879,8.78,-83.35845218436594,-5.943647034897825,128.88745301524335,-24.247272479335823,1.7851500817761312,2.7915293601342057,-3.3745575952655034,-2.700856622585424,0.21798991531143794,-2.202765670474053,1.666482839135614,2.6834161816698496,12.748614665710454,10.324359553198706,-2.420755585785491,1.0063792783580745
880,8.790000000000001,-84.4740544006637,-5.755520616718646,127.09532344909854,-23.43620891057228,1.7514233603912421,2.763312073065007,-3.394302022228709,-2.7411685176705802,0.2356727455401812,-2.174989453477617,1.6441889428023824,2.6664560383143385,12.765168053578465,10.351109175110398,-2.410662199017798,1.0118887126737648
881,8.8,-85.34289007691498,-5.577718555786704,125.5022710309357,-22.626924195953862,1.7175102224250718,2.734694349689387,-3.4058077759954544,-2.773477853811426,0.25301735820277527,-2.147497416382848,1.6218733266863463,2.649198562294611,12.781498372310427,10.377687683029713,-2.4005147745856235,1.0171841272643152
882,8.81,-85.96788634040588,-5.410942888138881,124.10787426056392,-21.820872253096816,1.6834924715483386,2.7057583122455435,-3.409306839800178,-2.798067371655079,0.2700222991319285,-2.1202931563987115,1.5995612377489814,2.631674050974879,12.797605532010866,10.404092256409722,-2.39031545553064,1.022265840697205
